c constant 28014
4 29 -400
4 30 -640
4 31 -80
4 152 80
4 153 160
4 154 240
4 155 400
4 156 640
4 157 80
5 26 320
5 27 640
5 28 960
5 29 1600
5 30 2560
5 31 320
5 68 320
5 69 640
5 70 960
5 71 1600
5 72 2560
5 73 320
6 7 4
6 26 -200
6 27 -400
6 28 -600
6 29 -1000
6 30 -1600
6 31 -200
6 164 200
6 165 400
6 166 600
6 167 1000
6 168 1600
6 169 200
7 26 200
7 27 400
7 28 600
7 29 1000
7 30 1600
7 31 200
7 80 200
7 81 400
7 82 600
7 83 1000
7 84 1600
7 85 200
8 9 4
8 26 -180
8 27 -360
8 28 -540
8 29 -900
8 30 -1440
8 31 -180
8 176 180
8 177 360
8 178 540
8 179 900
8 180 1440
8 181 180
9 26 220
9 27 440
9 28 660
9 29 1100
9 30 1760
9 31 220
9 92 220
9 93 440
9 94 660
9 95 1100
9 96 1760
9 97 220
10 11 4
10 20 420
10 21 840
10 22 1260
10 23 2100
10 24 3360
10 25 420
10 98 420
10 99 840
10 100 1260
10 101 2100
10 102 3360
10 103 420
11 20 20
11 21 40
11 22 60
11 23 100
11 24 160
11 25 20
11 182 -20
11 183 -40
11 184 -60
11 185 -100
11 186 -160
11 187 -20
12 13 4
12 20 520
12 21 1040
12 22 1560
12 23 2600
12 24 4160
12 25 520
12 110 520
12 111 1040
12 112 1560
12 113 2600
12 114 4160
12 115 520
13 20 120
13 21 240
13 22 360
13 23 600
13 24 960
13 25 120
13 194 -120
13 195 -240
13 196 -360
13 197 -600
13 198 -960
13 199 -120
20 21 160
20 22 240
20 23 400
20 24 640
20 25 80
20 98 20
20 99 40
20 100 60
20 101 100
20 102 160
20 103 20
20 110 20
20 111 40
20 112 60
20 113 100
20 114 160
20 115 20
20 182 -20
20 183 -40
20 184 -60
20 185 -100
20 186 -160
20 187 -20
20 194 -20
20 195 -40
20 196 -60
20 197 -100
20 198 -160
20 199 -20
21 22 480
21 23 800
21 24 1280
21 25 160
21 98 40
21 99 80
21 100 120
21 101 200
21 102 320
21 103 40
21 110 40
21 111 80
21 112 120
21 113 200
21 114 320
21 115 40
21 182 -40
21 183 -80
21 184 -120
21 185 -200
21 186 -320
21 187 -40
21 194 -40
21 195 -80
21 196 -120
21 197 -200
21 198 -320
21 199 -40
22 23 1200
22 24 1920
22 25 240
22 98 60
22 99 120
22 100 180
22 101 300
22 102 480
22 103 60
22 110 60
22 111 120
22 112 180
22 113 300
22 114 480
22 115 60
22 182 -60
22 183 -120
22 184 -180
22 185 -300
22 186 -480
22 187 -60
22 194 -60
22 195 -120
22 196 -180
22 197 -300
22 198 -480
22 199 -60
23 24 3200
23 25 400
23 98 100
23 99 200
23 100 300
23 101 500
23 102 800
23 103 100
23 110 100
23 111 200
23 112 300
23 113 500
23 114 800
23 115 100
23 182 -100
23 183 -200
23 184 -300
23 185 -500
23 186 -800
23 187 -100
23 194 -100
23 195 -200
23 196 -300
23 197 -500
23 198 -800
23 199 -100
24 25 640
24 98 160
24 99 320
24 100 480
24 101 800
24 102 1280
24 103 160
24 110 160
24 111 320
24 112 480
24 113 800
24 114 1280
24 115 160
24 182 -160
24 183 -320
24 184 -480
24 185 -800
24 186 -1280
24 187 -160
24 194 -160
24 195 -320
24 196 -480
24 197 -800
24 198 -1280
24 199 -160
25 98 20
25 99 40
25 100 60
25 101 100
25 102 160
25 103 20
25 110 20
25 111 40
25 112 60
25 113 100
25 114 160
25 115 20
25 182 -20
25 183 -40
25 184 -60
25 185 -100
25 186 -160
25 187 -20
25 194 -20
25 195 -40
25 196 -60
25 197 -100
25 198 -160
25 199 -20
26 27 399
26 28 600
26 29 1000
26 30 1599
26 31 199
26 44 20
26 45 40
26 46 60
26 47 100
26 48 160
26 49 20
26 56 20
26 57 40
26 58 60
26 59 100
26 60 160
26 61 20
26 68 20
26 69 40
26 70 60
26 71 100
26 72 160
26 73 20
26 80 20
26 81 40
26 82 60
26 83 100
26 84 160
26 85 20
26 92 20
26 93 40
26 94 60
26 95 100
26 96 160
26 97 20
26 128 -20
26 129 -40
26 130 -60
26 131 -100
26 132 -160
26 133 -20
26 140 -20
26 141 -40
26 142 -60
26 143 -100
26 144 -160
26 145 -20
26 152 -20
26 153 -40
26 154 -60
26 155 -100
26 156 -160
26 157 -20
26 164 -20
26 165 -40
26 166 -60
26 167 -100
26 168 -160
26 169 -20
26 176 -20
26 177 -40
26 178 -60
26 179 -100
26 180 -160
26 181 -20
27 28 1200
27 29 2000
27 30 3199
27 31 399
27 44 40
27 45 80
27 46 120
27 47 200
27 48 320
27 49 40
27 56 40
27 57 80
27 58 120
27 59 200
27 60 320
27 61 40
27 68 40
27 69 80
27 70 120
27 71 200
27 72 320
27 73 40
27 80 40
27 81 80
27 82 120
27 83 200
27 84 320
27 85 40
27 92 40
27 93 80
27 94 120
27 95 200
27 96 320
27 97 40
27 128 -40
27 129 -80
27 130 -120
27 131 -200
27 132 -320
27 133 -40
27 140 -40
27 141 -80
27 142 -120
27 143 -200
27 144 -320
27 145 -40
27 152 -40
27 153 -80
27 154 -120
27 155 -200
27 156 -320
27 157 -40
27 164 -40
27 165 -80
27 166 -120
27 167 -200
27 168 -320
27 169 -40
27 176 -40
27 177 -80
27 178 -120
27 179 -200
27 180 -320
27 181 -40
28 29 3000
28 30 4800
28 31 600
28 44 60
28 45 120
28 46 180
28 47 300
28 48 480
28 49 60
28 56 60
28 57 120
28 58 180
28 59 300
28 60 480
28 61 60
28 68 60
28 69 120
28 70 180
28 71 300
28 72 480
28 73 60
28 80 60
28 81 120
28 82 180
28 83 300
28 84 480
28 85 60
28 92 60
28 93 120
28 94 180
28 95 300
28 96 480
28 97 60
28 128 -60
28 129 -120
28 130 -180
28 131 -300
28 132 -480
28 133 -60
28 140 -60
28 141 -120
28 142 -180
28 143 -300
28 144 -480
28 145 -60
28 152 -60
28 153 -120
28 154 -180
28 155 -300
28 156 -480
28 157 -60
28 164 -60
28 165 -120
28 166 -180
28 167 -300
28 168 -480
28 169 -60
28 176 -60
28 177 -120
28 178 -180
28 179 -300
28 180 -480
28 181 -60
29 30 8000
29 31 1000
29 44 100
29 45 200
29 46 300
29 47 500
29 48 800
29 49 100
29 56 100
29 57 200
29 58 300
29 59 500
29 60 800
29 61 100
29 68 100
29 69 200
29 70 300
29 71 500
29 72 800
29 73 100
29 80 100
29 81 200
29 82 300
29 83 500
29 84 800
29 85 100
29 92 100
29 93 200
29 94 300
29 95 500
29 96 800
29 97 100
29 128 -100
29 129 -200
29 130 -300
29 131 -500
29 132 -800
29 133 -100
29 140 -100
29 141 -200
29 142 -300
29 143 -500
29 144 -800
29 145 -100
29 152 -100
29 153 -200
29 154 -300
29 155 -500
29 156 -800
29 157 -100
29 164 -100
29 165 -200
29 166 -300
29 167 -500
29 168 -800
29 169 -100
29 176 -100
29 177 -200
29 178 -300
29 179 -500
29 180 -800
29 181 -100
30 31 1599
30 44 160
30 45 320
30 46 480
30 47 800
30 48 1280
30 49 160
30 56 160
30 57 320
30 58 480
30 59 800
30 60 1280
30 61 160
30 68 160
30 69 320
30 70 480
30 71 800
30 72 1280
30 73 160
30 80 160
30 81 320
30 82 480
30 83 800
30 84 1280
30 85 160
30 92 160
30 93 320
30 94 480
30 95 800
30 96 1280
30 97 160
30 128 -160
30 129 -320
30 130 -480
30 131 -800
30 132 -1280
30 133 -160
30 140 -160
30 141 -320
30 142 -480
30 143 -800
30 144 -1280
30 145 -160
30 152 -160
30 153 -320
30 154 -480
30 155 -800
30 156 -1280
30 157 -160
30 164 -160
30 165 -320
30 166 -480
30 167 -800
30 168 -1280
30 169 -160
30 176 -160
30 177 -320
30 178 -480
30 179 -800
30 180 -1280
30 181 -160
31 44 20
31 45 40
31 46 60
31 47 100
31 48 160
31 49 20
31 56 20
31 57 40
31 58 60
31 59 100
31 60 160
31 61 20
31 68 20
31 69 40
31 70 60
31 71 100
31 72 160
31 73 20
31 80 20
31 81 40
31 82 60
31 83 100
31 84 160
31 85 20
31 92 20
31 93 40
31 94 60
31 95 100
31 96 160
31 97 20
31 128 -20
31 129 -40
31 130 -60
31 131 -100
31 132 -160
31 133 -20
31 140 -20
31 141 -40
31 142 -60
31 143 -100
31 144 -160
31 145 -20
31 152 -20
31 153 -40
31 154 -60
31 155 -100
31 156 -160
31 157 -20
31 164 -20
31 165 -40
31 166 -60
31 167 -100
31 168 -160
31 169 -20
31 176 -20
31 177 -40
31 178 -60
31 179 -100
31 180 -160
31 181 -20
44 45 40
44 46 60
44 47 100
44 48 160
44 49 20
45 46 120
45 47 200
45 48 320
45 49 40
46 47 300
46 48 480
46 49 60
47 48 800
47 49 100
48 49 160
56 57 40
56 58 60
56 59 100
56 60 160
56 61 20
57 58 120
57 59 200
57 60 320
57 61 40
58 59 300
58 60 480
58 61 60
59 60 800
59 61 100
60 61 160
68 69 40
68 70 60
68 71 100
68 72 160
68 73 20
69 70 120
69 71 200
69 72 320
69 73 40
70 71 300
70 72 480
70 73 60
71 72 800
71 73 100
72 73 160
80 81 40
80 82 60
80 83 100
80 84 160
80 85 20
81 82 120
81 83 200
81 84 320
81 85 40
82 83 300
82 84 480
82 85 60
83 84 800
83 85 100
84 85 160
92 93 40
92 94 60
92 95 100
92 96 160
92 97 20
93 94 120
93 95 200
93 96 320
93 97 40
94 95 300
94 96 480
94 97 60
95 96 800
95 97 100
96 97 160
98 99 40
98 100 60
98 101 100
98 102 160
98 103 20
99 100 120
99 101 200
99 102 320
99 103 40
100 101 300
100 102 480
100 103 60
101 102 800
101 103 100
102 103 160
110 111 40
110 112 60
110 113 100
110 114 160
110 115 20
111 112 120
111 113 200
111 114 320
111 115 40
112 113 300
112 114 480
112 115 60
113 114 800
113 115 100
114 115 160
128 129 40
128 130 60
128 131 100
128 132 160
128 133 20
129 130 120
129 131 200
129 132 320
129 133 40
130 131 300
130 132 480
130 133 60
131 132 800
131 133 100
132 133 160
140 141 40
140 142 60
140 143 100
140 144 160
140 145 20
141 142 120
141 143 200
141 144 320
141 145 40
142 143 300
142 144 480
142 145 60
143 144 800
143 145 100
144 145 160
152 153 40
152 154 60
152 155 100
152 156 160
152 157 20
153 154 120
153 155 200
153 156 320
153 157 40
154 155 300
154 156 480
154 157 60
155 156 800
155 157 100
156 157 160
164 165 40
164 166 60
164 167 100
164 168 160
164 169 20
165 166 120
165 167 200
165 168 320
165 169 40
166 167 300
166 168 480
166 169 60
167 168 800
167 169 100
168 169 160
176 177 40
176 178 60
176 179 100
176 180 160
176 181 20
177 178 120
177 179 200
177 180 320
177 181 40
178 179 300
178 180 480
178 181 60
179 180 800
179 181 100
180 181 160
182 183 40
182 184 60
182 185 100
182 186 160
182 187 20
183 184 120
183 185 200
183 186 320
183 187 40
184 185 300
184 186 480
184 187 60
185 186 800
185 187 100
186 187 160
194 195 40
194 196 60
194 197 100
194 198 160
194 199 20
195 196 120
195 197 200
195 198 320
195 199 40
196 197 300
196 198 480
196 199 60
197 198 800
197 199 100
198 199 160
